key,value,remoteness
  OXOXOXO,Lose,0
OOXXOXOXO,Lose,0
 XOOXOXOX,Win,1
 O XOXOXO,Lose,2
   OXOXOX,Win,1
OOOXOXOXX,Lose,0
 XXOXOOOX,Win,1
OOXXOOOXX,Tie,0
XXOOX XOO,Tie,1
  XOOXOXO,Tie,2
X OOXXXOO,Tie,1
  OOOXXXO,Tie,2
O O OXXXO,Lose,0
  X XOOOX,Win,1
 OXOXOOXX,Win,1
 OOXOX XO,Lose,2
 XOXO OXO,Lose,0
  XOXO OX,Win,1
  XXOOOXO,Tie,2
O XXO OXO,Lose,0
 OXXO OXO,Tie,2
  OOX XOX,Win,1
    OXOXO,Lose,2
 XXOOOXOX,Lose,0
OOXXXOOXO,Tie,0
X OOOXXOX,Tie,1
  OOXXOXO,Win,1
OOOOXXXXO,Lose,0
 XXXOOOOX,Win,1
 XOOOXXOX,Tie,1
 O OXXOXO,Tie,2
  OXXOOXO,Lose,0
   XOOXOX,Win,1
XXOO XXOO,Tie,1
 OOO XXXO,Tie,2
O XO XOXO,Lose,0
  OX OXOX,Win,1
XXOO OXOX,Win,1
 OOX XOXO,Win,1
 XOX OOXO,Lose,0
 XXO O OX,Win,1
O XX OOXO,Tie,2
 OXX OOXO,Tie,2
  OO XXOX,Tie,3
   O XOXO,Tie,4
X XOOOXOX,Lose,0
O O XXOXO,Win,1
  X OOXOX,Lose,2
OXOXOXOXO,Lose,0
XOXO OXOX,Win,1
O OX XOXO,Win,1
  XO OXOX,Win,1
X OO  XOX,Win,1
  O  XOXO,Win,3
X XXOOOOX,Win,1
 OOXX OXO,Win,1
  XXOO OX,Tie,3
 X O OXOX,Win,3
O OO XXXO,Lose,2
  XX OOOX,Win,3
 XOO  XOX,Tie,3
  OO X XO,Tie,4
  XOO XOX,Win,1
X X  OOOX,Win,1
 OXO  XOX,Win,1
  OX  OXO,Lose,2
     OXOX,Win,3
 XXOOOOXX,Lose,0
OOXXXOOOX,Tie,0
XXOOO XXO,Tie,1
  XOXOOXO,Win,1
X OOOXXXO,Tie,1
  OOXXXOO,Tie,2
X XOOOXXO,Lose,0
O O XXXOO,Win,1
  X OOOXX,Tie,3
  XOOO XX,Lose,0
O XOX OXO,Lose,0
 OOOXXX O,Tie,2
  OXO XOX,Win,1
    XOOXO,Win,1
  XOOOX X,Lose,0
O OOXXX O,Tie,2
X X OOO X,Win,1
  O X OXO,Win,1
  XXOOO X,Tie,3
  OOXX  O,Tie,4
    O XOX,Tie,5
X OOXOXXO,Lose,0
  OXOXXOO,Win,1
XXOO OXXO,Lose,0
 OOX XXOO,Win,1
O OX XOOX,Win,1
  XO OOXX,Lose,2
O XXO OOX,Win,1
OOXX  OOX,Win,1
O XX OOOX,Tie,2
X OO  XXO,Tie,3
  O  XXOO,Win,3
 OOXOXX O,Win,1
O OXOXO X,Lose,0
  XOXOO X,Win,1
O XXOOO X,Tie,2
X OOX X O,Tie,3
  O OXX O,Tie,4
O XX XOOO,Lose,0
 XXO OO X,Win,1
  XO  OXO,Tie,4
X OO XX O,Tie,3
  OO XX O,Tie,4
X XO OX O,Win,1
O O  XX O,Lose,2
  X  OO X,Win,3
  OX X OO,Win,1
  OXOX  O,Lose,2
  OX XO O,Win,1
  XO O  X,Win,2
      OXO,Tie,6
  OXOOXXO,Lose,0
OOXXOOXXO,Lose,0
 XOOXXOOX,Win,1
 XXXXOOOO,Lose,0
 O OOXOXX,Win,1
  OOOXOXX,Lose,0
   XXOXOO,Win,1
  XOOOXXO,Lose,0
OOXXOOXOX,Lose,0
XXOOXXO O,Win,1
  XOOXXOO,Lose,2
O X OOXXO,Lose,0
  O XXOOX,Win,1
 OOXOX OX,Lose,0
  XXOXOOO,Lose,0
 OOXOXO X,Lose,0
  OOXO XX,Win,1
  XOOOOXX,Lose,0
O XOO OXX,Lose,0
 OOOOXX X,Win,1
  OXX XOO,Win,1
    OOXXO,Lose,2
  OOXOXXO,Lose,0
 XOXOXOOX,Lose,0
OOOOXXXOX,Lose,0
 XXXOOOXO,Win,1
 O OXOOXX,Win,1
X OXOXOOX,Lose,0
 XXOOOXXO,Lose,0
  OOXOOXX,Win,1
   XOXXOO,Win,1
XXOO XOXO,Win,1
 OXO OXXO,Win,1
OOXXOXXOO,Lose,0
XXOO OOXX,Win,1
O XO OXXO,Win,1
  OX XOOX,Win,1
 OXX XOOO,Lose,0
 OOX XOOX,Win,1
 XXO O XO,Win,1
O XO OOXX,Lose,0
 OOO XXOX,Lose,2
  OX XXOO,Win,1
   O OOXX,Lose,2
  O  OXXO,Lose,0
  XOXXOOO,Lose,0
OOOOXXOXX,Lose,0
 XXXOOXOO,Win,1
X OXOOOXX,Lose,0
 OOOX OXX,Win,1
  OXOO XX,Win,1
 OOX OXXO,Lose,0
XXOO XOOX,Win,1
 OOO XOXX,Lose,2
 X X OXOO,Win,1
O XO XXOO,Win,1
  OX OOXX,Win,3
OOOO XX X,Lose,0
 XXX OO O,Win,1
  XO X OO,Lose,4
O O XOXXO,Lose,0
  XXO XOO,Win,1
O OO XOXX,Lose,0
  XX OXOO,Win,1
X O  XOOX,Win,1
 XXO OX O,Win,1
  OO  OXX,Lose,2
     XOOX,Win,1
 XOOOXXXO,Tie,1
 O OXXXOO,Win,1
 OOXX OOX,Win,1
  OXOX OX,Lose,2
 X OOO XX,Lose,0
 OXXX OOO,Lose,0
 OOOXXXO ,Tie,2
