key,value,remoteness
__OXOXOXO,Lose,0
OOXXOXOXO,Lose,0
_XOOXOXOX,Win,1
_O_XOXOXO,Lose,2
___OXOXOX,Win,1
OOOXOXOXX,Lose,0
_XXOXOOOX,Win,1
OOXXOOOXX,Tie,0
XXOOX_XOO,Tie,1
__XOOXOXO,Tie,2
X_OOXXXOO,Tie,1
__OOOXXXO,Tie,2
O_O_OXXXO,Lose,0
__X_XOOOX,Win,1
_OXOXOOXX,Win,1
_OOXOX_XO,Lose,2
_XOXO_OXO,Lose,0
__XOXO_OX,Win,1
__XXOOOXO,Tie,2
O_XXO_OXO,Lose,0
_OXXO_OXO,Tie,2
__OOX_XOX,Win,1
____OXOXO,Lose,2
_XXOOOXOX,Lose,0
OOXXXOOXO,Tie,0
X_OOOXXOX,Tie,1
__OOXXOXO,Win,1
OOOOXXXXO,Lose,0
_XXXOOOOX,Win,1
_XOOOXXOX,Tie,1
_O_OXXOXO,Tie,2
__OXXOOXO,Lose,0
___XOOXOX,Win,1
XXOO_XXOO,Tie,1
_OOO_XXXO,Tie,2
O_XO_XOXO,Lose,0
__OX_OXOX,Win,1
XXOO_OXOX,Win,1
_OOX_XOXO,Win,1
_XOX_OOXO,Lose,0
_XXO_O_OX,Win,1
O_XX_OOXO,Tie,2
_OXX_OOXO,Tie,2
__OO_XXOX,Tie,3
___O_XOXO,Tie,4
X_XOOOXOX,Lose,0
O_O_XXOXO,Win,1
__X_OOXOX,Lose,2
OXOXOXOXO,Lose,0
XOXO_OXOX,Win,1
O_OX_XOXO,Win,1
__XO_OXOX,Win,1
X_OO__XOX,Win,1
__O__XOXO,Win,3
X_XXOOOOX,Win,1
_OOXX_OXO,Win,1
__XXOO_OX,Tie,3
_X_O_OXOX,Win,3
O_OO_XXXO,Lose,2
__XX_OOOX,Win,3
_XOO__XOX,Tie,3
__OO_X_XO,Tie,4
__XOO_XOX,Win,1
X_X__OOOX,Win,1
_OXO__XOX,Win,1
__OX__OXO,Lose,2
_____OXOX,Win,3
_XXOOOOXX,Lose,0
OOXXXOOOX,Tie,0
XXOOO_XXO,Tie,1
__XOXOOXO,Win,1
X_OOOXXXO,Tie,1
__OOXXXOO,Tie,2
X_XOOOXXO,Lose,0
O_O_XXXOO,Win,1
__X_OOOXX,Tie,3
__XOOO_XX,Lose,0
O_XOX_OXO,Lose,0
_OOOXXX_O,Tie,2
__OXO_XOX,Win,1
____XOOXO,Win,1
__XOOOX_X,Lose,0
O_OOXXX_O,Tie,2
X_X_OOO_X,Win,1
__O_X_OXO,Win,1
__XXOOO_X,Tie,3
__OOXX__O,Tie,4
____O_XOX,Tie,5
X_OOXOXXO,Lose,0
__OXOXXOO,Win,1
XXOO_OXXO,Lose,0
_OOX_XXOO,Win,1
O_OX_XOOX,Win,1
__XO_OOXX,Lose,2
O_XXO_OOX,Win,1
OOXX__OOX,Win,1
O_XX_OOOX,Tie,2
X_OO__XXO,Tie,3
__O__XXOO,Win,3
_OOXOXX_O,Win,1
O_OXOXO_X,Lose,0
__XOXOO_X,Win,1
O_XXOOO_X,Tie,2
X_OOX_X_O,Tie,3
__O_OXX_O,Tie,4
O_XX_XOOO,Lose,0
_XXO_OO_X,Win,1
__XO__OXO,Tie,4
X_OO_XX_O,Tie,3
__OO_XX_O,Tie,4
X_XO_OX_O,Win,1
O_O__XX_O,Lose,2
__X__OO_X,Win,3
__OX_X_OO,Win,1
__OXOX__O,Lose,2
__OX_XO_O,Win,1
__XO_O__X,Win,2
______OXO,Tie,6
__OXOOXXO,Lose,0
OOXXOOXXO,Lose,0
_XOOXXOOX,Win,1
_XXXXOOOO,Lose,0
_O_OOXOXX,Win,1
__OOOXOXX,Lose,0
___XXOXOO,Win,1
__XOOOXXO,Lose,0
OOXXOOXOX,Lose,0
XXOOXXO_O,Win,1
__XOOXXOO,Lose,2
O_X_OOXXO,Lose,0
__O_XXOOX,Win,1
_OOXOX_OX,Lose,0
__XXOXOOO,Lose,0
_OOXOXO_X,Lose,0
__OOXO_XX,Win,1
__XOOOOXX,Lose,0
O_XOO_OXX,Lose,0
_OOOOXX_X,Win,1
__OXX_XOO,Win,1
____OOXXO,Lose,2
__OOXOXXO,Lose,0
_XOXOXOOX,Lose,0
OOOOXXXOX,Lose,0
_XXXOOOXO,Win,1
_O_OXOOXX,Win,1
X_OXOXOOX,Lose,0
_XXOOOXXO,Lose,0
__OOXOOXX,Win,1
___XOXXOO,Win,1
XXOO_XOXO,Win,1
_OXO_OXXO,Win,1
OOXXOXXOO,Lose,0
XXOO_OOXX,Win,1
O_XO_OXXO,Win,1
__OX_XOOX,Win,1
_OXX_XOOO,Lose,0
_OOX_XOOX,Win,1
_XXO_O_XO,Win,1
O_XO_OOXX,Lose,0
_OOO_XXOX,Lose,2
__OX_XXOO,Win,1
___O_OOXX,Lose,2
__O__OXXO,Lose,0
__XOXXOOO,Lose,0
OOOOXXOXX,Lose,0
_XXXOOXOO,Win,1
X_OXOOOXX,Lose,0
_OOOX_OXX,Win,1
__OXOO_XX,Win,1
_OOX_OXXO,Lose,0
XXOO_XOOX,Win,1
_OOO_XOXX,Lose,2
_X_X_OXOO,Win,1
O_XO_XXOO,Win,1
__OX_OOXX,Win,3
OOOO_XX_X,Lose,0
_XXX_OO_O,Win,1
__XO_X_OO,Lose,4
O_O_XOXXO,Lose,0
__XXO_XOO,Win,1
O_OO_XOXX,Lose,0
